,Tspot,g,r,i,z,zg,zr,k,t,Mg,Mr,Mi,Mz
0,1700,0.0005658110129232469,0.002245482120248355,0.0036377834715005056,0.008027181537199066,0.00041700277076350643,0.0025572101611537525,0.0033338683831904774,0.007663111481627866,0.00042753845948318044,0.0021978996931030542,0.0034796285065609362,0.007940220992221792
1,1800,0.001004220448547069,0.003137888166676083,0.006229166907217215,0.020558582080439796,0.0006262928707277027,0.003925201692657847,0.006264474226042467,0.018910287893117116,0.000605104821608484,0.0029469072799879923,0.005585414686320184,0.020154984607025094
2,1900,0.001424806871882222,0.0041328019550577735,0.008110460167462993,0.028274058039917154,0.0008677374811718721,0.00498852253121734,0.008184023277299637,0.026609926579069344,0.0008409962775130296,0.0038054872447750745,0.007201986668731003,0.02743788772833962
3,2000,0.0011385241699965905,0.004014578230316599,0.007907272534348728,0.026076896674773264,0.0004885723026452661,0.004336859974670222,0.007491169509608565,0.026551202855020026,0.0005039765635096255,0.0035645534242012594,0.007278015455473469,0.024944138329155797
4,2100,0.0018509822623772462,0.005805351692445288,0.011693665846857503,0.040828784228571134,0.0009135923417620159,0.006260578064857428,0.011302965030004011,0.04032331944582668,0.0009239116623964419,0.005152432642823042,0.010532209225109071,0.038719857488637585
5,2200,0.0037663085804352766,0.00934485833507022,0.021187774561828798,0.0722319968198623,0.0023323291928518857,0.0100626963020615,0.020195573718658964,0.06826118772799049,0.002307086850593294,0.008304197416645055,0.018868242765746283,0.06791601592189161
6,2300,0.0069872307460618465,0.013710797266151166,0.03464480735738341,0.10632817402717834,0.005217077133174572,0.014919678275253187,0.03201553432761345,0.09684967483259312,0.005111289766344657,0.012349130106473621,0.031200456821861816,0.09998528699336835
7,2400,0.01106468177721394,0.017261965380001302,0.050804015972151846,0.13848539082490585,0.009110565646156005,0.018998378933405495,0.04499893931750819,0.1230096282249402,0.008892333897354564,0.015602781057316977,0.046734336769406,0.13069480012065354
8,2500,0.019515437100997395,0.025119882520879936,0.07800842945251645,0.1830926080576561,0.01747587470325332,0.027997746589132302,0.0666650517838122,0.1596478755448588,0.017058481573927406,0.023152486785610823,0.07362981092736344,0.1740380006154813
9,2600,0.03235588746601751,0.03835837007929116,0.1195736708800782,0.2315976970238008,0.029969100757394215,0.0429430166546327,0.09727453071801999,0.19848984726088537,0.0297201456517713,0.036196206810521145,0.11631471588493504,0.2213289200044724
10,2700,0.0625957494332084,0.07132028126662404,0.1857175720022717,0.307314844485587,0.06007530844912728,0.07887380464080085,0.15133119449625357,0.26576090042181605,0.05982455023346564,0.06904202782605752,0.1838209696457772,0.29716507218179583
11,2800,0.11004948670970251,0.11885205436325638,0.2668228555058275,0.39339349510198535,0.10744527899789913,0.12962647649451187,0.22000228381623818,0.3446528092157822,0.10722054603507404,0.11641781749974764,0.2666237468145018,0.38368452331368263
12,2900,0.18952598888050404,0.20233118900692026,0.3726406227854938,0.493175652260364,0.18698495469179557,0.21601304909192065,0.31626389300252816,0.4416804127146666,0.1869185610391479,0.20005955781188778,0.3742228489884237,0.48494685304879975
13,3000,0.3057776891462436,0.31714585745227436,0.4957971701005484,0.603819866096685,0.30335370858621524,0.33230989872264755,0.4352781725830158,0.5532447858136879,0.30347644810389574,0.31498238521059263,0.4986898846924329,0.5972015003556075
14,3100,0.47622215197603573,0.49853848784486815,0.6456464008303279,0.7247502362998558,0.47443430829218336,0.5130609473019748,0.5935059468139658,0.6854551648887316,0.47480857014924865,0.4973271892929059,0.6487338570947963,0.7205992565602493
15,3200,0.7033990919731945,0.7172676010186773,0.8116023789946908,0.8574378386780834,0.7022803691033218,0.7267501827323045,0.7778013878951532,0.8331509362916449,0.7025830032904744,0.7165102095959743,0.8139060120974321,0.8552888325332376
16,3300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,3400,1.3743615714686344,1.3530805242115553,1.2110751704646616,1.1516857742784763,1.3762270751894898,1.3382977320217395,1.2627949150740079,1.1864506852492367,1.3753640874522801,1.3541305340174519,1.206963609703787,1.153961260260103
18,3500,1.83332684943876,1.7745123565713712,1.4445106600424578,1.3142011097357926,1.8375749815063598,1.7381240467214263,1.5663548733217103,1.3931493467962957,1.8351956583994131,1.77643958155126,1.4343238094898714,1.3186442320764622
19,3600,2.339287612031501,2.243272791711445,1.6798243832758764,1.4689759663701203,2.3471969862900663,2.1808004266901433,1.888459346275372,1.6014509078892545,2.3425094306751495,2.246464497775491,1.6614530208694238,1.4756420993119839
20,3700,2.990407881011703,2.842190303617331,1.959778310861543,1.6459217484161215,3.0034965569583534,2.743793146325654,2.2877611477768753,1.8500396963352208,2.995414994700675,2.846838310808614,1.9295316892471017,1.6550224956096975
21,3800,3.7565823233504863,3.5460407415047044,2.262451506475291,1.8270028440041588,3.7767293404709,3.4034571111637644,2.7408561762608987,2.119754614858638,3.764043607385099,3.552305559143719,2.215893994825944,1.8386544684795607
22,3900,4.662745349600216,4.342096950737197,2.5938736530570354,2.0235733659294173,4.690563017491281,4.1459139960617675,3.250984146098035,2.4170741453093454,4.671833079162273,4.349205674294425,2.5278347372138743,2.037531580789877
23,4000,5.688010320134809,5.202999066050979,2.9382773426442506,2.2247789429154756,5.724261244232605,4.944603000324442,3.798986838765716,2.7280115407325884,5.697618638145086,5.210077427370276,2.849640079861533,2.240823424682579
24,4100,6.892169763066124,6.153840209880874,3.31106665682669,2.4431218599961797,6.937187660492002,5.820457552653106,4.407716771103146,3.066410300978874,6.900396941983367,6.159366514799581,3.197367144810232,2.4610621149089904
25,4200,8.304413373229835,7.206104001045707,3.7090800978481493,2.673330544013008,8.35879877156656,6.782918180947566,5.0812806490688684,3.4295443979743654,8.308906041133673,7.208371844629184,3.5672761484054507,2.693117959479496
26,4300,9.955709683617897,8.352222884072845,4.13229784795584,2.917206142236199,10.018029103417819,7.8231995637335725,5.821060058339627,3.8170002241085528,9.95301286928691,8.348514817749937,3.960518242252728,2.938786747114042
27,4400,12.113210296781228,9.749365136536712,4.630102922613083,3.1998952002877656,12.1819371942419,9.083196264193806,6.727047667803828,4.274804471259464,12.097163657542204,9.735756479182733,4.421343939178048,3.2235376447683968
28,4500,15.024054539062819,11.48543674383463,5.229406765527889,3.5354208966752316,15.094216227878116,10.636910264604579,7.864845755002735,4.827243389620914,14.982926621240793,11.455048715292998,4.975933655752779,3.561391199047777
29,4600,18.42378534906284,13.278145489056504,5.8238602684831315,3.8650611954788654,18.478248533283992,12.229084012369835,9.06371257069105,5.3793838671939,18.341543443652274,13.223000632493989,5.5226927071572325,3.893780444755255
30,4700,22.056991855279684,15.035707260641964,6.420414768686564,4.202351870146101,22.07547505517537,13.787594199622426,10.274854497671079,5.9308932989776295,21.919667945450385,14.949996731219453,6.073977826010304,4.234167899760572
31,4800,26.37855516566896,16.958366574021685,7.07388857515706,4.57331658207171,26.337350615092646,15.486781572567486,11.632602186468374,6.533826601702238,26.164763337512568,16.833714709528007,6.6801223112611865,4.60875354374117
32,4900,30.69312715120184,18.80254684932055,7.698874280102221,4.925976167128673,30.580678008084725,17.113292758232348,12.948437562972765,7.108774448738428,30.394442625583096,18.639235169409837,7.261634119156863,4.9645702788313395
33,5000,36.01216681239408,20.92789071201885,8.40910326728816,5.3244608206119315,35.796028797809534,18.981478717148377,14.490146480563284,7.7627398461144415,35.59686400663845,20.71668265077313,7.922993080940439,5.3667490538107225
