,Tspot,g,r,i,z,zg,zr,k,t,Mg,Mr,Mi,Mz
0,1700,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1800,1.7748336911273461,1.3974229134939742,1.7123523035437347,2.5611208598146797,1.5018913893089942,1.5349546753274625,1.8790406536827438,2.4677036134022186,1.4153225474497673,1.3407833347605909,1.605175574285798,2.5383405105183887
2,1900,2.5181674434383963,1.8404964874984961,2.2295060250294685,3.5222895992685936,2.0808914041100928,1.9507675227469907,2.4548129489945887,3.4724702417374496,1.9670657898932593,1.7314198899597575,2.0697573477029105,3.4555571885489913
3,2000,2.012198674102218,1.7878468922623072,2.173651234686366,3.248574428512589,1.1716284324699335,1.6959341240508499,2.246990177350551,3.4648070719936577,1.1787864982225118,1.6217998643826763,2.0916070326905785,3.141491698227414
4,2100,3.271378994223173,2.585347547458184,3.214502990205221,5.086316291635478,2.190854367920109,2.448206314819586,3.3903453078694104,5.262003501123651,2.1610024593186075,2.3442528605792283,3.026820019795302,4.876420634459342
5,2200,6.656478036680036,4.161626695133363,5.8243638544790315,8.998425722045685,5.593078407084764,3.935029062109408,6.057699764179655,8.907763888290694,5.396208924413865,3.778242220381297,5.42248769665201,8.553416332923462
6,2300,12.34905398882661,6.105948091287728,9.523603487893464,13.246015869261075,12.510893209707994,5.8343574970474,9.603118854072733,12.638426971183701,11.955157841292959,5.618604955096375,8.966605706049508,12.59225493740206
7,2400,19.555437282934047,7.687420542939835,13.965651438620757,17.252056675577283,21.84773407974033,7.429338120897297,13.49751524217182,16.052177828790953,20.798909899483306,7.09895046906738,13.430840873181465,16.459844159083435
8,2500,34.49108740420486,11.186854838150134,21.44394521104899,22.809077782678727,41.908293969500654,10.948551282347628,19.9963058289705,20.83329675258032,39.89929138666996,10.533914199206933,21.16025052344881,21.918533600761013
9,2600,57.184972945032854,17.082465156769377,32.869925276436724,28.8516829911651,71.86786961276692,16.79291647865885,29.177675762031516,25.901991343432787,69.51455475537284,16.468543548235527,33.4273373337471,27.87440301992669
